uhf_neigh,Poverty,HIV,Borough
Crotona - Tremont,39.3,43.5,Bronx
Fordham - Bronx Park,32.6,31,Bronx
High Bridge - Morrisania,38.7,53.6,Bronx
Hunts Point - Mott Haven,41.4,31.9,Bronx
Kingsbridge - Riverdale,15.2,16.2,Bronx
Northeast Bronx,14.9,20.8,Bronx
Pelham - Throgs Neck,22.8,23.7,Bronx
Bedford Stuyvesant - Crown Heights,25.9,33.8,Brooklyn
Bensonhurst - Bay Ridge,14.9,9.8,Brooklyn
Borough Park,26.7,3.6,Brooklyn
Canarsie - Flatlands,12.2,13.7,Brooklyn
Coney Island - Sheepshead Bay,19.3,8.3,Brooklyn
Downtown  - Heights - Slope,15,10.8,Brooklyn
East Flatbush - Flatbush,17,28.6,Brooklyn
East New York,28.6,36.3,Brooklyn
Greenpoint,22.8,11,Brooklyn
Sunset Park,30,10.3,Brooklyn
Williamsburg - Bushwick,30.5,26.2,Brooklyn
Central Harlem - Morningside Heights,28.5,44.7,Manhattan
Chelsea - Clinton,13.2,34.1,Manhattan
East Harlem,34.3,32.7,Manhattan
Gramercy Park -  Murray Hill,8.8,13.7,Manhattan
Greenwich Village - Soho,9.7,15.5,Manhattan
Lower Manhattan,10.1,11.5,Manhattan
Union Square - Lower East Side,21.4,15.3,Manhattan
Upper East Side,6.2,4.1,Manhattan
Upper West Side,11.2,9.7,Manhattan
Washington Heights - Inwood,23.5,28.2,Manhattan
Bayside - Little Neck,8.6,1.1,Queens
Flushing - Clearview,15.9,7.1,Queens
Fresh Meadows,13.3,8,Queens
Jamaica,13.5,18,Queens
Long Island City - Astoria,14.6,13.9,Queens
Ridgewood - Forest Hills,11.2,9.5,Queens
Rockaway,19.5,13.2,Queens
Southeast Queens,6.8,14,Queens
Southwest Queens,13.5,10.9,Queens
West Queens,16.1,21.9,Queens
Port  Richmond,22.1,16,Staten Island
South Beach - Tottenville,7.7,2.6,Staten Island
Stapleton - St. George,18.7,9.6,Staten Island
Willowbrook,9.6,4.4,Staten Island
